Players,BID,RETAINED,UNSOLD,Base Price,BO,A,BA,W,TYPE,COST IN â‚¹ (CR.),,2022 Squad,SOLD TO 
Richard Gleeson,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Lahiru Kumara,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Dilshan Madushanka,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Billy Stanlake,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Andrew Tye,No,No,Yes,,Yes,No,No,No,BOWLER,,,LSG,Unsold
Luke Wood,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Priyansh Arya,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Matthew Breetzke,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Shivam Chauhan,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Rahul Gahlaut,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Sudip Gharami,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
C. Hari Nishaanth,No,No,Yes,,No,No,Yes,No,BATSMAN,,,CSK,Unsold
Amandeep Khare,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Bhanu Pania,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Ekant Sen,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Akash Singh,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Himanshu Bisht,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Mickil Jaiswal,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
G.Aniketh Reddy,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Atit Sheth,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
M. Siddharth,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Tanay Thyagarajann,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Sumeet Verma,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Sanjay Yadav,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,MI,Unsold
Ajitesh Guruswamy,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Yash Kothari,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Suresh Kumar,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Kumar Kushagra,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Anmol Malhotra,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Robin Minz,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Agniv Pan,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Priyesh Patel,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Mitesh Patel,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Abishek Porel,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Bharat Sharma,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Vivek Singh,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Abhijeet Tomar,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,KKR,Unsold
Basit Bashir,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Nandre Burger,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Rasikh Dar,No,No,Yes,,Yes,No,No,No,BOWLER,,,KKR,Unsold
Sakib Hussain,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Waseem Khanday,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Ravi Kiran Majeti,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Lukman Hussain Meriwala,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Anuj Raj,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Ankit Singh Rajpoot,No,No,Yes,,Yes,No,No,No,BOWLER,,,LSG,Unsold
Prince Yadav,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Prithviraj Yarra,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Mushtaq Beg,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Rocky Bhasker,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Sanjith Devaraj,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Allah Mohammad,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Lalit Mohan,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Bhuwan Rohilla,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Aman Sharma,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Manav Suthar,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Tom Curran,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Moises Henriques,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Afif Hossain,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Scott Kuggeleijn,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Sisanda Magala,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Craig Overton,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Darcy Short,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Dhananjaya Silva,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Dunith Wellalage,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Varun Aaron,No,No,Yes,,Yes,No,No,No,BOWLER,,,GT,Unsold
Sheldon Cottrel,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Nathan Coulter-Nile,No,No,Yes,,Yes,No,No,No,BOWLER,,,RR,Unsold
Daryn Dupavillon,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Matt Henry,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Dhawal Kulkarni,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Tymal Mills,No,No,Yes,,Yes,No,No,No,BOWLER,,,MI,Unsold
David Payne,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Barinder Sran,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Glenton Stuurman,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Anirudh Balachander,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Gourav Choudhary,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Saurav Chuahan,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Kumar Deobrat,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Chirag Gandhi,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Arman Jaffer,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Madhav Kaushik,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Priyank Panchal,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Ayush Pandey,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Rohan Patil,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Sanjay Ramaswamy,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Siddharth Yadav,No,No,Yes,,No,No,Yes,No,BATSMAN,,,,Unsold
Rehan Ahmed,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Prayas Barman,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Rahul Buddhi,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,MI,Unsold
Vaisakh Chandran,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Writtick Chatterjee,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,PBKS,Unsold
Prashant Chopra,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Harsh Dubey,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Tanush Kotian,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Ninad Rathva,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
B. Surya,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Jordan Thompson,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Shivank Vashisth,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Ankush Bains,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Christopher Benjamin,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Connor Esterhuizen,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Mohd Arslan Khan,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Mamidi Krishna,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Fazil Makaya,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Akshdeep Nath,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Deepak Punia,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Ateev Saini,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Bipin Saurabh,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
B.R. Sharath,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Yashovardhan Singh,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Lakshay Thareja,No,No,Yes,,No,No,No,Yes,WICKETKEEPER,,,,Unsold
Mohit Avasthi,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Ottneil Baartman,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Gurnoor Singh Brar,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Shahrukh Dar,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Thomas Helm,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Pankaj Jaswal,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Venkatesh Muralidhara,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Geet Puri,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
E. Sanketh,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Ajay Sarkar,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Ashok Sharma,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Kanwar Singh,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Fabian Allen,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,MI,Unsold
Carlos Brathwaite,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Roston Chase,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Rahkeem Cornwall,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Karim Janat,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Keshav Maharaj,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Pawan Negi,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Keemo Paul,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Shivam Chaudhary,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Ashwin Das,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
James Fuller,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Chirag Jani,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Akshay Karnewar,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Bhagmender Lather,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Lone Muzaffar,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Pulkit Narang,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Rohit Rayudu,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Sameer Rizvi,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Tunish Sawkar,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Auqib Dar,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Mukhtar Hussain,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Ashwani Kumar,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Hemant Kumar,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Nathan McAndrew,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Rajesh Mohanty,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Ravi Sharma,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Vikash Singh,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Ruben Trumpelmann,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Koushik Vasuki,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Vasu Vats,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Shubham Agrawal,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Baba Aparajith,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Anshul Kamboj,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Azim Kazi,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Dev Lakra,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Jitender Pal,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Ritwik Roy Chowdhury,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Utkarsh Singh,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Shubham Singh,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Avneesh Sudha,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Asad Jamil Ahmed,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Bandaru Ayyappa,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Aashish Bhatt,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
McKenny Clarke,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Shubham Kapse,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Gourav Koul,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Raunak Kumar,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Trilok Nag,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Atal Bihari Rai,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Ramon Simmonds,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Rajeev Singh,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Mohd. Wasim,No,No,Yes,,Yes,No,No,No,BOWLER,,,,Unsold
Atharva Ankolekar,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Khizar Dafedar,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Naman Dhir,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Sahil Dhiwan,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Sampark Gupta,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Jordan Hermann,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Hayden Kerr,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Salman Khan,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Sairaj Patil,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Divyaansh Saxena,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Purnank Tyagi,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Prince Yadav,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Deepraj Gaonkar,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Shubham Garhwal,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,RR,Unsold
Benny Howell,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,PBKS,Unsold
Deepesh Nailwal,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Arjun Rapria,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Shashwat Rawat,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Sumit Ruikar,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Shivam Sharma,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Rajandeep Singh,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Anunay Singh,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Digvesh Singh,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Pranshu Vijayran,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Prerit Dutta,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Ramakrishna Ghosh,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Shubhang Hegde,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Shamshuzama Kazi,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Ayaz Khan,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Amit Pachhara,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Akul Pandove,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Garv Sangwan,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Shubham Sharma,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Amit Yadav,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Amit Ali,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Rishabh Chauhan,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Matthew Forde,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Sammar Gajjar,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Rajneesh Gurbani,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Divyansh Joshi,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Dhruv Patel,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Jack Prestwidge,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Aditya Sarvate,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Sagar Solanki,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
Prenelan Subrayen,No,No,Yes,,No,Yes,No,No,ALL-ROUNDER,,,,Unsold
